family,term,beta,se,z,or,or_ci_low,or_ci_high
hidden_stratified_stack,hidden_share,-0.07633068784248098,21.09685783890203,-0.0036181069439511168,0.9265097703778111,1.0205682926495583e-18,8.411199532536447e+17
hidden_stratified_stack,built_hidden_share,-0.012468748425036586,23.213962573085567,-0.0005371227934817532,0.9876086643378151,1.715777736011907e-20,5.684715761274779e+19
hidden_stratified_stack,cell_level,-0.047016432571307235,1.892678255523586,-0.02484121769460532,0.954071719609992,0.0233615022744134,38.96379759603551
full_stratified_control_stack,intercept,0.5824077233929403,0.07917098259032168,7.356328093168535,1.7903438983680846,1.533009194388587,2.090875440380003
full_stratified_control_stack,signal_code,0.15359416852702684,25.869848686795798,0.0059371885157342525,1.1660175841107039,1.1113358811965885e-22,1.2233898225183492e+22
full_stratified_control_stack,anchor_code,-0.009400958953844943,25.339127320442568,-0.00037100563231554686,0.9906430919125773,2.6718778474313717e-22,3.672973809403588e+21
full_stratified_control_stack,n_cells_log,-0.06237447504985745,20.563656695248184,-0.003033238493242831,0.9395309899925955,2.942884068405432e-18,2.9995013756513946e+17
full_stratified_control_stack,strong_cells_log,0.03207837398606901,29.423773052296454,0.0010902195965505305,1.032598430988888,9.287743329059314e-26,1.1480286242887623e+25
full_stratified_control_stack,hidden_share,-0.02487464956274469,28.415094566078064,-0.0008754026668783303,0.9754321752149767,6.335491057565657e-25,1.5018061264697095e+24
full_stratified_control_stack,built_hidden_share,-0.009589504520848176,28.880216242130132,-0.00033204406921507446,0.9904563281564073,2.58522872521808e-25,3.794649689660717e+24
full_stratified_control_stack,cell_level,0.07065785389811612,26.650189079172996,0.0026513077895321544,1.073213967068537,2.2160900350216753e-23,5.197389099309442e+22
full_stratified_control_stack,cropland_fraction,-0.03144621766572251,22.697974646889612,-0.0013854195431499303,0.969043072450719,4.6284652529923625e-20,2.0288463344466534e+19
full_stratified_control_stack,built_up_fraction,-0.022538039233442,26.102268151805482,-0.0008634513714427171,0.9777140449931624,5.908981739607005e-23,1.6177487017255104e+22
full_stratified_control_stack,water_wetland_mangrove_fraction,0.07180558483932982,24.739749791243458,0.002902437795257943,1.074446435080627,9.381766203143737e-22,1.2305093911534837e+21
full_stratified_control_stack,landcover_adjusted_or,0.09983303904319732,28.65804867093295,0.0034835951389968556,1.1049864130847287,4.457931944254957e-25,2.7389269023619354e+24
full_stratified_control_stack,landcover_adjusted_boot_q025,0.11734415908539574,28.19436748996458,0.004161971682009283,1.1245063721864033,1.1257236919941322e-24,1.123290368747452e+24
full_stratified_control_stack,landcover_adjusted_boot_q975,0.08661760463673737,28.52597376589944,0.0030364469009041125,1.090479605634835,5.699260036895953e-25,2.0864915139986455e+24
full_stratified_control_stack,landcover_built_up,0.015930225068122646,26.723487494405802,0.0005961132532367799,1.0160577875697665,1.81729998508129e-23,5.68080909126841e+22
full_stratified_control_stack,landcover_vegetation_non_crop,-0.03755972307842951,23.75367139647769,-0.0015812175916519182,0.9631368945028183,5.809713700923929e-21,1.5966925829839215e+20
full_stratified_control_stack,landcover_water_wetland_mangrove,-0.027821602068896164,23.05342484985753,-0.0012068316204682317,0.9725618543485633,2.3144395242985803e-20,4.086849324008903e+19
