pair,exposure_category,transport_km_valid,transport_km_strong_subsidence,transport_km_hidden_strong_subsidence,hidden_strong_subsidence_transport_fraction
20180608_20190311,transport_total,9813.681962737217,9707.097146891148,19.81075732636984,0.0020408528962455627
20180912_20190329,major_road,9020.261318275034,8923.891208355115,25.189116250058888,0.002822660615413513
20180912_20190329,railway,793.4206444620273,783.2059385359177,0.0,0.0
20180912_20190329,transport_total,9813.681962737217,9707.097146891148,25.189116250058888,0.0025949174989070858
20181217_20190110,major_road,9020.261318275034,8923.891208355115,17.451559719917718,0.0019555997840469477
20181217_20190110,railway,793.4206444620273,783.2059385359177,0.0,0.0
20181217_20190110,transport_total,9813.681962737217,9707.097146891148,17.451559719917718,0.0017978144707768641
20190122_20190203,major_road,9020.261318275034,8923.891208355115,5.077998802536862,0.0005690341448562838
20190122_20190203,railway,793.4206444620273,783.2059385359177,0.0,0.0
20190122_20190203,transport_total,9813.681962737217,9707.097146891148,5.077998802536862,0.0005231222811201773
20190428_20190510,major_road,9020.261318275034,8923.891208355115,2.56049181868994,0.00028692548563261783
20190428_20190510,railway,793.4206444620273,783.2059385359177,0.0,0.0
20190428_20190510,transport_total,9813.681962737217,9707.097146891148,2.56049181868994,0.00026377523372267663
20190901_20190907,major_road,9020.261318275034,8923.891208355115,0.0,0.0
20190901_20190907,railway,793.4206444620273,783.2059385359177,0.0,0.0
20190901_20190907,transport_total,9813.681962737217,9707.097146891148,0.0,0.0
20191124_20191224,major_road,9020.261318275034,8923.891208355115,14.456331693519001,0.001619958306975332
20191124_20191224,railway,793.4206444620273,783.2059385359177,0.0,0.0
20191124_20191224,transport_total,9813.681962737217,9707.097146891148,14.456331693519001,0.0014892538392024715
20200105_20200111,major_road,9020.261318275034,8923.891208355115,2.4426630708686843,0.0002737217446781184
20200105_20200111,railway,793.4206444620273,783.2059385359177,0.0,0.0
20200105_20200111,transport_total,9813.681962737217,9707.097146891148,2.4426630708686843,0.00025163682137980723
20200329_20200919,major_road,9020.261318275034,8923.891208355115,18.370246348315767,0.0020585466495956803
20200329_20200919,railway,793.4206444620273,783.2059385359177,2.688956387475759,0.003433268640049317
20200329_20200919,transport_total,9813.681962737217,9707.097146891148,21.059202735791526,0.0021694645079900193
20200907_20200919,major_road,9020.261318275034,8923.891208355115,6.342134377277442,0.000710691583884341
20200907_20200919,railway,793.4206444620273,783.2059385359177,0.0,0.0
20200907_20200919,transport_total,9813.681962737217,9707.097146891148,6.342134377277442,0.0006533502530474428
20201212_20201218,major_road,9020.261318275034,8923.891208355115,1.0759781523041272,0.00012057275544739138
20201212_20201218,railway,793.4206444620273,783.2059385359177,0.0,0.0
20201212_20201218,transport_total,9813.681962737217,9707.097146891148,1.0759781523041272,0.00011084448172528347
20210111_20210129,major_road,9020.261318275034,8923.891208355115,1.8304005636645806,0.0002051123798944168
20210111_20210129,railway,793.4206444620273,783.2059385359177,0.0,0.0
20210111_20210129,transport_total,9813.681962737217,9707.097146891148,1.8304005636645806,0.00018856312406956752
20210405_20210429,major_road,9020.261318275034,8923.891208355115,12.68279814323567,0.0014212183729179965
20210405_20210429,railway,793.4206444620273,783.2059385359177,0.0,0.0
20210405_20210429,transport_total,9813.681962737217,9707.097146891148,12.68279814323567,0.0013065490075266774
20210902_20220325,major_road,9020.261318275034,8923.891208355115,18.08814801160945,0.0020269350655770183
20210902_20220325,railway,793.4206444620273,783.2059385359177,0.0,0.0
20210902_20220325,transport_total,9813.681962737217,9707.097146891148,18.08814801160945,0.0018633941473844699
20211213_20211231,major_road,9020.261318275034,8923.891208355115,7.868519211448108,0.000881736344351789
20211213_20211231,railway,793.4206444620273,783.2059385359177,0.0,0.0
20211213_20211231,transport_total,9813.681962737217,9707.097146891148,7.868519211448108,0.0008105944642748451
20220205_20220406,major_road,9020.261318275034,8923.891208355115,18.27327958417196,0.002047680676234976
