deformation_abs_threshold_mm_yr,observability_fraction_threshold,min_observable_count,strong_cells,hidden_strong_cells,strong_population,hidden_population,hidden_population_fraction,strong_builtup_km2,hidden_builtup_km2,hidden_builtup_fraction,run
6.0,0.33,4,17031,11569,17003088.747547787,3113123.775321855,0.1830916618470767,1065.9135504631029,341.00040358812964,0.3199137523300803,65
6.0,0.33,8,17031,11569,17003088.747547787,3113123.775321855,0.1830916618470767,1065.9135504631029,341.00040358812964,0.3199137523300803,66
6.0,0.33,14,17031,12338,17003088.747547787,3640835.125753042,0.214127866989939,1065.9135504631029,392.23336654245867,0.3679785911081126,67
6.0,0.5,1,17031,12338,17003088.747547787,3640835.125753042,0.214127866989939,1065.9135504631029,392.23336654245867,0.3679785911081126,68
6.0,0.5,4,17031,12338,17003088.747547787,3640835.125753042,0.214127866989939,1065.9135504631029,392.23336654245867,0.3679785911081126,69
6.0,0.5,8,17031,12338,17003088.747547787,3640835.125753042,0.214127866989939,1065.9135504631029,392.23336654245867,0.3679785911081126,70
6.0,0.5,14,17031,12338,17003088.747547787,3640835.125753042,0.214127866989939,1065.9135504631029,392.23336654245867,0.3679785911081126,71
6.0,0.67,1,17031,13188,17003088.747547787,4434526.307334352,0.2608071023550887,1065.9135504631029,459.7391752916744,0.4313100017275636,72
6.0,0.67,4,17031,13188,17003088.747547787,4434526.307334352,0.2608071023550887,1065.9135504631029,459.7391752916744,0.4313100017275636,73
6.0,0.67,8,17031,13188,17003088.747547787,4434526.307334352,0.2608071023550887,1065.9135504631029,459.7391752916744,0.4313100017275636,74
6.0,0.67,14,17031,13188,17003088.747547787,4434526.307334352,0.2608071023550887,1065.9135504631029,459.7391752916744,0.4313100017275636,75
6.0,0.75,1,17031,13601,17003088.747547787,4953036.713738513,0.2913021738154985,1065.9135504631029,498.0343280155022,0.4672370735873686,76
6.0,0.75,4,17031,13601,17003088.747547787,4953036.713738513,0.2913021738154985,1065.9135504631029,498.0343280155022,0.4672370735873686,77
6.0,0.75,8,17031,13601,17003088.747547787,4953036.713738513,0.2913021738154985,1065.9135504631029,498.0343280155022,0.4672370735873686,78
6.0,0.75,14,17031,13601,17003088.747547787,4953036.713738513,0.2913021738154985,1065.9135504631029,498.0343280155022,0.4672370735873686,79
7.0,0.25,1,15572,10213,12581039.902105289,2417690.559262894,0.1921693737620466,881.8202607999414,273.5400624565742,0.3101993394985424,80
7.0,0.25,4,15572,10213,12581039.902105289,2417690.559262894,0.1921693737620466,881.8202607999414,273.5400624565742,0.3101993394985424,81
7.0,0.25,8,15572,10517,12581039.902105289,2574481.853725695,0.2046318804930335,881.8202607999414,289.52999029868505,0.3283322046105388,82
7.0,0.25,14,15572,11671,12581039.902105289,3333937.0305804424,0.2649969363838158,881.8202607999414,362.29462360856047,0.4108486045443156,83
7.0,0.33,1,15572,10962,12581039.902105289,2858663.9839653736,0.2272200077425245,881.8202607999414,316.1466375473228,0.3585159602258753,84
7.0,0.33,4,15572,10962,12581039.902105289,2858663.9839653736,0.2272200077425245,881.8202607999414,316.1466375473228,0.3585159602258753,85
7.0,0.33,8,15572,10962,12581039.902105289,2858663.9839653736,0.2272200077425245,881.8202607999414,316.1466375473228,0.3585159602258753,86
7.0,0.33,14,15572,11671,12581039.902105289,3333937.0305804424,0.2649969363838158,881.8202607999414,362.29462360856047,0.4108486045443156,87
7.0,0.5,1,15572,11671,12581039.902105289,3333937.0305804424,0.2649969363838158,881.8202607999414,362.29462360856047,0.4108486045443156,88
7.0,0.5,4,15572,11671,12581039.902105289,3333937.0305804424,0.2649969363838158,881.8202607999414,362.29462360856047,0.4108486045443156,89
7.0,0.5,8,15572,11671,12581039.902105289,3333937.0305804424,0.2649969363838158,881.8202607999414,362.29462360856047,0.4108486045443156,90
7.0,0.5,14,15572,11671,12581039.902105289,3333937.0305804424,0.2649969363838158,881.8202607999414,362.29462360856047,0.4108486045443156,91
7.0,0.67,1,15572,12446,12581039.902105289,4044022.512328839,0.3214378575853749,881.8202607999414,422.9890755192507,0.4796772021721717,92
7.0,0.67,4,15572,12446,12581039.902105289,4044022.512328839,0.3214378575853749,881.8202607999414,422.9890755192507,0.4796772021721717,93
7.0,0.67,8,15572,12446,12581039.902105289,4044022.512328839,0.3214378575853749,881.8202607999414,422.9890755192507,0.4796772021721717,94
7.0,0.67,14,15572,12446,12581039.902105289,4044022.512328839,0.3214378575853749,881.8202607999414,422.9890755192507,0.4796772021721717,95
7.0,0.75,1,15572,12814,12581039.902105289,4489778.482231645,0.3568686306670352,881.8202607999414,456.6014793479882,0.5177942712881003,96
7.0,0.75,4,15572,12814,12581039.902105289,4489778.482231645,0.3568686306670352,881.8202607999414,456.6014793479882,0.5177942712881003,97
7.0,0.75,8,15572,12814,12581039.902105289,4489778.482231645,0.3568686306670352,881.8202607999414,456.6014793479882,0.5177942712881003,98
7.0,0.75,14,15572,12814,12581039.902105289,4489778.482231645,0.3568686306670352,881.8202607999414,456.6014793479882,0.5177942712881003,99
10.0,0.25,1,8466,5954,4567942.084284863,1332535.2805246718,0.2917145742957219,372.0667608972496,140.443034808031,0.3774672977219159,100
10.0,0.25,4,8466,5954,4567942.084284863,1332535.2805246718,0.2917145742957219,372.0667608972496,140.443034808031,0.3774672977219159,101
10.0,0.25,8,8466,6130,4567942.084284863,1417742.753531919,0.3103679353574542,372.0667608972496,148.70613153142935,0.399675937653824,102
10.0,0.25,14,8466,6762,4567942.084284863,1770967.4473859954,0.3876948119545281,372.0667608972496,184.4659541265615,0.4957872444227929,103
10.0,0.33,1,8466,6359,4567942.084284863,1549042.625820886,0.3391117044040626,372.0667608972496,160.9034269259886,0.4324584828216458,104
10.0,0.33,4,8466,6359,4567942.084284863,1549042.625820886,0.3391117044040626,372.0667608972496,160.9034269259886,0.4324584828216458,105
10.0,0.33,8,8466,6359,4567942.084284863,1549042.625820886,0.3391117044040626,372.0667608972496,160.9034269259886,0.4324584828216458,106
10.0,0.33,14,8466,6762,4567942.084284863,1770967.4473859954,0.3876948119545281,372.0667608972496,184.4659541265615,0.4957872444227929,107
10.0,0.5,1,8466,6762,4567942.084284863,1770967.4473859954,0.3876948119545281,372.0667608972496,184.4659541265615,0.4957872444227929,108
10.0,0.5,4,8466,6762,4567942.084284863,1770967.4473859954,0.3876948119545281,372.0667608972496,184.4659541265615,0.4957872444227929,109
10.0,0.5,8,8466,6762,4567942.084284863,1770967.4473859954,0.3876948119545281,372.0667608972496,184.4659541265615,0.4957872444227929,110
10.0,0.5,14,8466,6762,4567942.084284863,1770967.4473859954,0.3876948119545281,372.0667608972496,184.4659541265615,0.4957872444227929,111
10.0,0.67,1,8466,7141,4567942.084284863,2083637.3464477372,0.4561435561138342,372.0667608972496,210.7304773091925,0.5663781327872718,112
10.0,0.67,4,8466,7141,4567942.084284863,2083637.3464477372,0.4561435561138342,372.0667608972496,210.7304773091925,0.5663781327872718,113
10.0,0.67,8,8466,7141,4567942.084284863,2083637.3464477372,0.4561435561138342,372.0667608972496,210.7304773091925,0.5663781327872718,114
10.0,0.67,14,8466,7141,4567942.084284863,2083637.3464477372,0.4561435561138342,372.0667608972496,210.7304773091925,0.5663781327872718,115
10.0,0.75,1,8466,7340,4567942.084284863,2258355.1335261515,0.494392243127511,372.0667608972496,225.6897867955996,0.6065841147737633,116
10.0,0.75,4,8466,7340,4567942.084284863,2258355.1335261515,0.494392243127511,372.0667608972496,225.6897867955996,0.6065841147737633,117
10.0,0.75,8,8466,7340,4567942.084284863,2258355.1335261515,0.494392243127511,372.0667608972496,225.6897867955996,0.6065841147737633,118
10.0,0.75,14,8466,7340,4567942.084284863,2258355.1335261515,0.494392243127511,372.0667608972496,225.6897867955996,0.6065841147737633,119
