row,col,lon_center,lat_center,vlm_mm_yr,observable_count,observable_fraction,any_observable,majority_observable,not_majority_observable,strong_sub_5mm,population_weighted,population_cover_fraction,builtup_m2_weighted,builtup_cover_fraction
78,34,100.04458293944998,14.662083463057634,-12.631741453745741,28,1.0,1,1,0,1,82.6407630910471,1.0000000000001505,22774.001417000552,1.0000000000001505
78,35,100.05291627274998,14.662083463057634,-11.727496659628851,28,1.0,1,1,0,1,83.2000693386277,1.0000000000018558,26164.98091246653,1.0000000000018556
78,36,100.06124960604998,14.662083463057634,-9.992725286488875,28,1.0,1,1,0,1,21.91732229977297,1.0000000000001505,2980.051504401154,1.0000000000001508
78,37,100.06958293934998,14.662083463057634,-10.986517108158615,28,1.0,1,1,0,1,106.55182081907144,1.0000000000001505,29343.963991011708,1.0000000000001505
78,38,100.07791627264999,14.662083463057634,-10.98935095548235,28,1.0,1,1,0,1,147.89017173317797,1.0000000000001505,35672.92720916248,1.0000000000001505
78,39,100.08624960594999,14.662083463057634,-11.830693353351489,28,1.0,1,1,0,1,75.62916987624267,1.0000000000001505,19342.036772703494,1.0000000000001505
78,40,100.09458293924997,14.662083463057634,-9.54747524050427,27,0.9642857142857143,1,1,0,1,102.3679121560873,1.0000000000001505,13299.03778938271,1.0000000000001505
78,41,100.10291627254998,14.662083463057634,-12.424910314109109,28,1.0,1,1,0,1,211.3341347373763,1.0000000000001505,47262.88846805599,1.0000000000001505
78,42,100.11124960584998,14.662083463057634,-9.42777718144791,28,1.0,1,1,0,1,391.77158806190386,1.0000000000001505,78765.84380914748,1.0000000000001505
78,43,100.11958293914998,14.662083463057634,-9.696448654910444,28,1.0,1,1,0,1,299.5222198872057,1.0000000000001505,50471.140859823994,1.0000000000001505
78,44,100.12791627244998,14.662083463057634,-10.904035959296268,28,1.0,1,1,0,1,490.3269328955264,1.0000000000001505,100717.86467988101,1.0000000000001508
78,45,100.13624960574998,14.662083463057634,-11.362862429280439,28,1.0,1,1,0,1,382.9843376664625,1.0000000000001505,70826.08289767394,1.0000000000001508
78,46,100.14458293904998,14.662083463057634,-10.561067800942318,28,1.0,1,1,0,1,111.85519112858086,1.0000000000018558,18899.21861339135,1.0000000000018558
78,47,100.15291627234998,14.662083463057634,-10.202733356317303,28,1.0,1,1,0,1,81.1891991808265,1.0000000000001505,21970.984224623393,1.0000000000001505
78,48,100.16124960564999,14.662083463057634,-9.587039227880767,28,1.0,1,1,0,1,114.95720671937774,1.0000000000001505,25303.01488607736,1.0000000000001505
78,49,100.16958293894999,14.662083463057634,-9.181762689179521,28,1.0,1,1,0,1,236.33703662166326,1.0000000000001505,53568.91186619366,1.0000000000001508
78,50,100.17791627224999,14.662083463057634,-7.876110227545185,28,1.0,1,1,0,1,122.00786042855539,1.0000000000001505,26307.06246242642,1.0000000000001505
78,51,100.18624960554997,14.662083463057634,-6.776132859454958,28,1.0,1,1,0,1,105.92728471620678,1.0000000000001505,26522.98250702284,1.0000000000001508
78,53,100.20291627214998,14.662083463057634,-8.846112958802042,28,1.0,1,1,0,1,197.78479822473778,1.0000000000001505,31101.910834666225,1.0000000000001505
78,54,100.21124960544998,14.662083463057634,-8.16135892582097,28,1.0,1,1,0,1,153.8625478898695,1.0000000000001505,39783.0320230237,1.0000000000001505
78,55,100.21958293874998,14.662083463057634,-8.021881638949935,28,1.0,1,1,0,1,91.09680491795874,1.0000000000001505,30852.12342695469,1.0000000000001505
79,29,100.00291627294997,14.653750129757798,-12.797341106363774,28,1.0,1,1,0,1,200.1335314565878,1.0000000000001505,59570.84650873576,1.0000000000001505
79,30,100.01124960624998,14.653750129757798,-12.495561278754623,28,1.0,1,1,0,1,73.45663403537867,1.0000000000001505,12476.159378514287,1.0000000000001505
79,31,100.01958293954998,14.653750129757798,-12.910985701202875,28,1.0,1,1,0,1,61.799928946373875,1.0000000000001505,13119.017835242768,1.0000000000001505
79,32,100.02791627284998,14.653750129757798,-12.790261023516052,28,1.0,1,1,0,1,112.1475904367397,1.0000000000001505,36032.927330499355,1.0000000000001505
79,33,100.03624960614998,14.653750129757798,-13.041977773988576,28,1.0,1,1,0,1,62.857754500424306,1.0000000000001503,9407.091919703296,1.0000000000001505
79,34,100.04458293944998,14.653750129757798,-13.606347460093717,28,1.0,1,1,0,1,168.59218616334962,1.0000000000001505,43505.940622598675,1.0000000000001505
79,35,100.05291627274998,14.653750129757798,-12.5939196990603,28,1.0,1,1,0,1,64.14029489818971,1.0000000000018558,19731.03367115775,1.0000000000018558
79,36,100.06124960604998,14.653750129757798,-12.00587347617053,28,1.0,1,1,0,1,6.67176431161507,1.0000000000001503,507.0845579592257,1.0000000000001508
79,37,100.06958293934998,14.653750129757798,-9.671601603484039,28,1.0,1,1,0,1,140.6011332911946,1.0000000000001505,45424.86750996846,1.0000000000001508
79,38,100.07791627264999,14.653750129757798,-10.649689124626416,28,1.0,1,1,0,1,47.887135552481546,1.0000000000001505,1805.1273259533837,1.0000000000001505
79,39,100.08624960594999,14.653750129757798,-11.09391260253692,28,1.0,1,1,0,1,80.36704439906391,1.0000000000001505,17889.966426867562,1.0000000000001505
79,40,100.09458293924997,14.653750129757798,-9.722735180250943,28,1.0,1,1,0,1,132.98703336185454,1.0000000000001505,26984.97272392167,1.0000000000001505
79,41,100.10291627254998,14.653750129757798,-10.564129462882764,28,1.0,1,1,0,1,129.12952652171828,1.0000000000001505,29668.00041028262,1.0000000000001505
79,42,100.11124960584998,14.653750129757798,-9.698580468186746,28,1.0,1,1,0,1,119.45157717296007,1.0000000000001505,31426.993408734164,1.0000000000001505
79,43,100.11958293914998,14.653750129757798,-10.00054772546844,28,1.0,1,1,0,1,579.3062265948239,1.0000000000001505,93328.72540506457,1.0000000000001505
79,44,100.12791627244998,14.653750129757798,-11.88323456239804,28,1.0,1,1,0,1,495.0212807793988,1.0000000000001505,92149.92597450694,1.0000000000001508
79,45,100.13624960574998,14.653750129757798,-9.06605599418938,28,1.0,1,1,0,1,500.66262446120095,1.0000000000001505,77333.93774805464,1.0000000000001505
79,46,100.14458293904998,14.653750129757798,-10.736386884962958,28,1.0,1,1,0,1,324.74290254278185,1.000000000001856,74083.05918650374,1.0000000000018558
79,47,100.15291627234998,14.653750129757798,-10.234945482573243,28,1.0,1,1,0,1,116.77368161375782,1.0000000000001505,17035.27082107756,1.0000000000001505
79,48,100.16124960564999,14.653750129757798,-8.812968734361856,28,1.0,1,1,0,1,165.27479908840132,1.0000000000001508,38768.98179885444,1.0000000000001503
