left_out_block,n_cells_left_out,converged,strong_beta,strong_odds_ratio,strong_ci_low,strong_ci_high
170012,25,True,1.7955555425068852,6.022819724944019,4.552955231803341,7.967211534563486
170013,24,True,1.7941141830506269,6.014144930030807,4.546859738552733,7.95492742666572
170014,25,True,1.7964971504774296,6.028493530833391,4.5569584752957075,7.975217340320775
170015,24,True,1.7945384043389696,6.016696799581729,4.548651476067306,7.958543442725037
170016,25,True,1.8004767022788883,6.052532032631199,4.573949358006335,8.009083865763259
170017,24,True,1.7979786733499101,6.037431501154817,4.563311157648136,7.98774790319637
170018,18,True,1.795832702849052,6.024489243071213,4.554164581288804,7.969512298479479
170019,14,True,1.7945694614660672,6.016883663800659,4.5487810586190625,7.958811065464176
170020,8,True,1.7944507939086225,6.016169697276016,4.548274565048217,7.95780846313936
170021,2,True,1.7948491480887165,6.018566741027582,4.549981860069698,7.961162644206344
170022,4,True,1.794704775888372,6.017697890024735,4.549360038624122,7.9599520785697315
180005,22,True,1.7953063326465355,6.021318965891198,4.551897412938288,7.965092092353926
180006,25,True,1.794191413251661,6.014609421588959,4.547212928014361,7.9555382751921195
180007,24,True,1.7960865170908267,6.026018538310769,4.5551934433001975,7.971757923359823
180008,25,True,1.7721216270120768,5.88332234504711,4.446610241785424,7.784240114067753
180009,25,True,1.8468325632044025,6.339707065516006,4.753332561878124,8.45551729304483
180010,25,True,1.8000058934232193,6.049683117650841,4.56318570994275,8.020419976387233
180011,25,True,1.7940527525663281,6.013775489542683,4.546601020421014,7.9544027453008015
180012,25,True,1.7945004499188149,6.016468443677039,4.548488231497003,7.958224951117028
180013,23,True,1.7945843317937344,6.0169731374975255,4.548844576078786,7.958936633657311
180014,25,True,1.79491926677805,6.01898876983501,4.550266764113926,7.961780636053479
180015,25,True,1.7948836172136693,6.018774199332048,4.5501135881184736,7.961480996241432
180016,25,True,1.7953484430557125,6.021572531435474,4.552093128190251,7.96542046268584
180017,25,True,1.7938612502403268,6.012623947813365,4.545750102555733,7.952845167950043
180018,23,True,1.7944392239732248,6.016100090983948,4.548214060826126,7.9577301817151
180019,15,True,1.7939749755701484,6.013307774338385,4.546231703473787,7.953811584501645
180020,10,True,1.7947950433683437,6.018241116965993,4.549740937967178,7.960722739111122
180021,11,True,1.7942107857761806,6.014725940886088,4.547234450365534,7.955808863354281
180022,24,True,1.827265838276117,6.216865484157361,4.6825687123693935,8.253892002911028
180023,25,True,1.7961474774490531,6.026385897756612,4.555534505439825,7.972133005537056
180024,15,True,1.7943536231022696,6.015585129617292,4.547828749304999,7.957042018612251
180025,8,True,1.7948654702464093,6.01866497782473,4.550042937891247,7.961315664436875
190004,2,True,1.7948860132213011,6.018788620378241,4.550148028571437,7.961458886463538
190005,23,True,1.80345122228775,6.07056221253808,4.584313414281093,8.038657536261464
190006,25,True,1.7959472335266455,6.02517927142033,4.554606219020887,7.970565073473532
190007,25,True,1.79501221381242,6.019548242991355,4.550664489417618,7.962564837281064
190008,25,True,1.7972977295039672,6.033321748742912,4.560331288797028,7.9820892427875485
190009,25,True,1.8138352487450429,6.133927515275273,4.626509358947087,8.132495547618191
190010,25,True,1.7944758423823186,6.016320395031797,4.548390414017928,7.958004436936817
190011,25,True,1.803044219096487,6.068091977075776,4.582576786258804,8.035160556973995
