left_out_block,n_cells_left_out,converged,strong_beta,strong_odds_ratio,strong_ci_low,strong_ci_high
190005,23,True,0.3813815634543478,1.4643062245698928,1.2427241464958383,1.725397165058878
190006,25,True,0.38880083482454364,1.475210711472507,1.2524862393199172,1.7375413596758493
190007,25,True,0.38973995719062,1.4765967655816643,1.2536490750785898,1.7391932491072506
190008,25,True,0.39163989570506486,1.4794048754201967,1.256020757610771,1.7425180054988285
190009,25,True,0.34895963992492396,1.4175919750688466,1.2045121420586602,1.6683659197864082
190010,25,True,0.3888432033372229,1.4752732152803278,1.2525370759770953,1.7376180725235126
190011,25,True,0.4088305051163917,1.5050565994721659,1.2755611719008704,1.7758422077391032
190012,24,True,0.38997473504404184,1.4769434784993218,1.2539466834989816,1.7395971195480644
190013,24,True,0.3881859787186679,1.474303947952215,1.2517155042104178,1.7364745612211434
190014,25,True,0.38796383533296835,1.4739764774557158,1.2514384486531622,1.7360875066855972
190015,25,True,0.3904964731778215,1.477714257288351,1.2545980426672385,1.7405091925306289
190016,25,True,0.3892396993346518,1.475858271183798,1.2530344909651907,1.738306209706831
190017,23,True,0.3882318065928931,1.4743715137162974,1.2517703263281654,1.736557669356517
190018,25,True,0.3927957412207871,1.4811158275190612,1.2574860014637108,1.744515717848157
190019,24,True,0.3910396765459237,1.4785171747039818,1.2552860389160172,1.741446147033024
190020,16,True,0.38807913937700506,1.4741464427030333,1.2515799279357562,1.7362916151253214
190021,24,True,0.38834296008247876,1.4745354043633325,1.251907917622342,1.7367528618641066
190022,20,True,0.3883211233080417,1.4745032056178677,1.251882743241802,1.7367119365726627
190023,25,True,0.38838369804905076,1.4745954751609176,1.2519603395932895,1.7368216441037068
190024,25,True,0.39009459684508535,1.4771205182146319,1.2541031255819837,1.7397971353576913
190025,11,True,0.3888274617361198,1.4752499923006388,1.2525165696729772,1.7375918151336451
200004,5,True,0.3888185525586698,1.4752368490952221,1.2525104655395194,1.7375693224175548
200005,23,True,0.39039901872291166,1.4775702544678666,1.2544736207795784,1.7403425793294105
200006,25,True,0.3901071343671613,1.477139037761832,1.2541160899169135,1.7398227759158305
200007,25,True,0.3905950515509074,1.477859935135945,1.254716044701276,1.7406886578867373
200008,25,True,0.3885692891620017,1.4748691723734046,1.2522033147363167,1.737129306414161
200009,24,True,0.39094805723267817,1.4783817201810336,1.2551620193117496,1.741299112734372
200010,21,True,0.38890728668997465,1.4753677587634872,1.252618731423783,1.7377275055791708
200011,21,True,0.3889313708363688,1.4754032921644686,1.2526456294369592,1.7377738950066748
200012,21,True,0.38796411500433525,1.4739768896847898,1.2514326688916868,1.7360964959057568
200013,23,True,0.3862878025370158,1.4715081136462065,1.249346098671931,1.7331755634634738
200014,23,True,0.38962409012799243,1.476425686563154,1.2535122182873801,1.7389801041761621
200015,24,True,0.38672359560130476,1.4721495264276478,1.249885411558145,1.7339383339624874
200016,25,True,0.3834815717521027,1.4673845108740553,1.2458326101941029,1.7283359619376282
200017,15,True,0.3879076293447581,1.4738936334793873,1.2513663585868284,1.7359923637905093
200018,24,True,0.3906474728267606,1.4779374084698849,1.2547946339688525,1.7407621328805427
200019,23,True,0.3896590556838667,1.476477311510534,1.2535572422885644,1.7390392539438178
200020,24,True,0.39181255101901047,1.4796603245851083,1.256256966418035,1.7427920677677344
200021,24,True,0.38820708371826745,1.4743350634647916,1.2517405728812168,1.7365130814274559
200022,25,True,0.38955614136734673,1.4763253686758433,1.2534305926771618,1.738857027209351
200023,25,True,0.38874177085514877,1.475123582245318,1.2524084515505254,1.7374440265093294
200024,25,True,0.3892293531107486,1.4758430017026658,1.2530195698864968,1.738290939759254
200025,9,True,0.38881652142662076,1.475233852697421,1.2525031498361587,1.7375724128351788
210004,7,True,0.3882523597392423,1.4744018170012048,1.2518032124212866,1.7365834313299837
210005,25,True,0.3889571240767018,1.4754412890693096,1.2526818206973742,1.7378131952761953
210006,25,True,0.38957209183595587,1.4763489169450956,1.2534441275061785,1.7388937222925502
210007,24,True,0.38895381384933336,1.4754364050312576,1.2526687410536443,1.737819835322559
210008,25,True,0.3911936105218879,1.478744786249341,1.2554690916826134,1.7417283765456575
210009,24,True,0.39133887737393197,1.4789596144527468,1.2556491368982352,1.7419846650676987
210010,17,True,0.3869701019881243,1.4725124654198176,1.2502010874051463,1.734355363037756
210011,25,True,0.3891062402794046,1.475661317676154,1.2528614242495821,1.738082346808635
210012,25,True,0.3875252450376352,1.4733301474245548,1.2508879780936906,1.7353286315998764
210013,17,True,0.3884360380596945,1.474672657523628,1.252025273800091,1.7369133773532945
210014,16,True,0.3876999393512875,1.4735875523063722,1.251101247986533,1.7356391241771498
210015,21,True,0.3884894034863348,1.474751356159026,1.2520928866176864,1.7370049664350238
210016,25,True,0.38453722591873435,1.468934379365644,1.2471581071062945,1.7301480851444477
210017,25,True,0.3872639705131465,1.4729452540744745,1.2505566618257133,1.7348815833207605
210018,23,True,0.3895818616660719,1.4763633406936647,1.2534592002714973,1.738906789524581
210019,25,True,0.3920047793742489,1.479944784595379,1.2564950392625711,1.7431318843379584
210020,22,True,0.3877558589013121,1.4736699569632132,1.2511744170488195,1.7357317352910848
210021,24,True,0.38932284966410585,1.4759809943874411,1.2531383541359493,1.738451216182789
210022,25,True,0.3876044124571068,1.4734467917875118,1.2509843667748806,1.7354696876236817
210023,25,True,0.38862421436373684,1.474950182084947,1.2522619318572823,1.737238819043134
210024,25,True,0.3891897600813738,1.4757845697641032,1.252971785173797,1.7382195849300164
210025,22,True,0.3873949542026376,1.473138198514283,1.2507186390873997,1.7351113864468914
210026,17,True,0.3871840767857591,1.4728275796886743,1.2504523977752462,1.734749026313187
210027,13,True,0.33480542730839763,1.397668410659284,1.1890904703870662,1.6428329339137366
210028,2,True,0.3625206726906216,1.4369469262383254,1.2178246226061336,1.6954957474969448
220004,14,True,0.38939455404233436,1.4760868324814027,1.253222758967686,1.7385834413187202
220005,24,True,0.38936606926869244,1.4760447870809335,1.253181834988514,1.7385411698764106
220006,24,True,0.3882278920336255,1.474365742212921,1.2517628246235302,1.7365544806499729
220007,25,True,0.3907979253993523,1.478159784683236,1.2549648497216328,1.7410498385986204
220008,16,True,0.3890145186572657,1.4755259738334423,1.252742366624696,1.7379286894584447
220009,24,True,0.3925029024601971,1.4806821628958449,1.2571011629285396,1.7440280322471917
220010,24,True,0.38880729920239443,1.4752202478227787,1.2524900250536979,1.7375585721674693
220011,21,True,0.3852962109271301,1.4700497017408398,1.2481095361348737,1.7314555037217538
220012,25,True,0.38707053821249254,1.4726603664393654,1.2503180754593428,1.7345414718447356
220013,15,True,0.38817154101798185,1.4742826625467509,1.2516961967137927,1.7364512050066745
220014,20,True,0.38644943845431395,1.4717459814334384,1.2495436369507138,1.7334618574436473
220015,19,True,0.389817607282923,1.4767114279085185,1.2537545436426354,1.7393170396654498
220016,21,True,0.3855382874970889,1.4704056094070217,1.248403102962133,1.7318866406576179
220017,23,True,0.3885693036027169,1.4748691936715703,1.2521926945016066,1.7371440897179242
220018,25,True,0.3915362092421646,1.4792514891136461,1.2559067872850296,1.742314788166145
220019,25,True,0.3911672815014847,1.4787058528602341,1.255447491395783,1.7416666282491222
220020,25,True,0.3868005983462244,1.4722628903467254,1.2499795421233073,1.7340747950243414
220021,21,True,0.3874160208698854,1.4731692329534163,1.2507491545907878,1.735142159364959
220022,24,True,0.38849445756449613,1.4747588096864837,1.25210034893228,1.7370121720695446
